order_id,order_date,customer_name,product_name,category,quantity,unit_price,total_amount,warehouse,region,payment_status,order_status,dispatch_date,delivery_date
1,2025-03-12,,Tea,Foods,4,120,480.0,WH-C,Dhaka,Failed,Delivered,,2025-03-16
2,2025-01-08,Customer_60,Lotion,Beauty,14,120,1680.0,WH-C,Sylhet,Paid,Pending,2025-01-09,2025-01-11
3,2025-02-26,Customer_72,Tea,Foods,18,350,6300.0,,Chattogram,Failed,Dispatched,2025-03-02,2025-03-07
4,2025-02-25,Customer_24,Toothpaste,Personal Care,9,180,1620.0,WH-B,Dhaka,Pending,Cancelled,2025-02-28,2025-03-01
5,2025-04-28,Customer_250,Lotion,Beauty,9,120,1080.0,WH-B,Dhaka,Failed,Cancelled,2025-05-03,2025-05-04
6,2025-05-28,Customer_18,Ice Cream,Foods,20,250,5000.0,WH-A,Chattogram,Pending,Delivered,2025-05-30,2025-06-05
7,2025-04-08,Customer_163,Ice Cream,Foods,8,120,960.0,WH-B,Chattogram,Pending,Cancelled,2025-04-11,2025-04-15
8,2025-06-05,Customer_187,Shampoo,Personal Care,9,120,1080.0,WH-A,Chattogram,Pending,Dispatched,2025-06-07,2025-06-12
9,2025-06-25,Customer_197,Toothpaste,Personal Care,18,180,3240.0,WH-A,Chattogram,Paid,Cancelled,2025-06-28,2025-07-05
10,2025-02-24,Customer_81,Detergent,Home Care,9,120,1080.0,WH-A,Rajshahi,Pending,Dispatched,2025-03-01,2025-03-07
11,2025-03-05,Customer_68,Shampoo,Personal Care,9,180,1620.0,WH-C,Sylhet,Pending,Dispatched,2025-03-10,2025-03-15
12,2025-05-11,Customer_194,Toothpaste,Personal Care,8,180,1440.0,WH-A,Dhaka,Paid,Pending,2025-05-15,2025-05-16
13,2025-01-17,Customer_153,Ice Cream,Foods,14,500,7000.0,WH-B,Sylhet,Pending,Delivered,2025-01-21,2025-01-25
14,2025-03-10,Customer_76,Tea,Foods,4,500,2000.0,WH-B,Chattogram,Pending,Delivered,2025-03-13,2025-03-14
15,2025-02-15,Customer_223,Tea,Foods,9,500,4500.0,WH-C,Khulna,Failed,Pending,2025-02-20,2025-02-21
16,2025-05-19,Customer_154,Shampoo,Personal Care,12,180,2160.0,WH-B,Rajshahi,Paid,Delivered,2025-05-24,2025-05-25
17,2025-01-15,Customer_243,Toothpaste,Personal Care,10,180,1800.0,WH-A,Dhaka,Failed,Dispatched,2025-01-17,2025-01-22
